SESSIONID,PREVSESSIONID,LICENSEPLATE,CARPARKNUMBER,VEHICLETYPE,LABEL_TYPE,TRANSACTION_TYPE,SESSIONSTART,SESSIONEND,TOTAL_CHARGE,DURATION,FIRST_ADVISORY_SENT_AT,FINAL_ADVISORY_SENT_AT,PAYMENT_STATUS,BILLINGID,PAYMENTID,TXN_STATUS,PATCH_STATUS,REDEMPTION,EFFECTIVE_CHARGE,REDEMPTION_TYPE
0PL81-E-00001-20211213213919,null,SMX7096Y,PL81,C,season_W,LPRS,13/12/2021 21:39:19,14/12/2021 19:24:48,0,1305,"","",,"","",ENDED,,0,0,
0PL81-L-000L5-20211213212713,null,SLG7022L,PL81,C,season_W,PHDB,13/12/2021 21:27:13,13/12/2021 21:41:58,0,14,"","",,"","",FORCE EXITED,,0,0,
0PL81-E-00001-20211213231246,null,SML7240K,PL81,C,season_W,PHDB,13/12/2021 23:12:46,14/12/2021 04:14:58,0,302,"","",,"","",FORCE EXITED,,0,0,
0PL80-E-00004-20211214000917,null,SNC5082Z,PL80,C,season_W,LPRS,14/12/2021 00:09:17,14/12/2021 07:41:41,0,452,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213221415,null,SNA1500X,PL80,C,season_W,PHDB,13/12/2021 22:14:15,14/12/2021 07:02:51,0,528,"","",,"","",EXITED,,0,0,
0PL81-E-00001-20211213212117,null,GBJ2961L,PL81,C,season_W,PHDB,13/12/2021 21:21:17,14/12/2021 07:30:17,0,609,"","",,"","",EXITED,,0,0,
0PL80-L-00677-20211213234312,null,SNA7386U,PL80,C,season_W,PHDB,13/12/2021 23:43:12,14/12/2021 07:44:51,0,481,"","",,"","",FC EXITED,,0,0,
0PL81-E-00001-20211213231153,null,SJE1582K,PL81,C,season_W,LPRS,13/12/2021 23:11:53,14/12/2021 08:59:15,0,588,"","",,"","",ENDED,,0,0,
0PL80-E-00003-20211213230516,null,SLU6641H,PL80,C,season_W,PHDB,13/12/2021 23:05:16,14/12/2021 04:00:39,0,295,"","",,"","",EXITED,,0,0,
0PL80-L-00080-20211213221820,0PL80-E-00004-20211213221702,SLN1214C,PL80,C,season_W,LPRS,13/12/2021 22:18:20,14/12/2021 10:00:46,0,702,"","",,"","",ENDED,,0,0,
0PL80-E-00004-20211213221101,null,GBL5110X,PL80,C,season_W,LPRS,13/12/2021 22:11:01,14/12/2021 11:46:32,0,815,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211214001206,null,SDL6688R,PL81,C,season_W,PHDB,14/12/2021 00:12:06,14/12/2021 06:44:06,0,392,"","",,"","",EXITED,,0,0,
0PL80-E-00003-20211213233743,null,GBK1477U,PL80,C,season_W,PHDB,13/12/2021 23:37:43,14/12/2021 16:44:23,0,1027,"","",,"","",EXITED,,0,0,
0PL80-E-00004-20211214001912,null,GBG7042Y,PL80,C,SHORT TERM,PHDB,14/12/2021 00:19:12,14/12/2021 00:53:23,0.680000000000000049,34,2021-12-15,"",UNPAID_M,"","",EXITED,,0,0.680000000000000049,
0PL81-E-00001-20211214015725,null,SJZ7142Y,PL81,C,season_W,PHDB,14/12/2021 01:57:25,14/12/2021 14:51:36,0,774,"","",,"","",EXITED,,0,0,
0PL80-E-00001-20211213214306,null,SKW7024J,PL80,C,SHORT TERM,LPRS,13/12/2021 21:43:06,13/12/2021 21:44:59,0,1,"","",,"","",ENDED,,0,0,
0PL80-E-00004-20211213185310,null,SLU2046C,PL80,C,SHORT TERM,LPRS,13/12/2021 18:53:10,13/12/2021 22:02:02,3.7799999999999998,189,"","",PAID,"","",ENDED,,0,3.7799999999999998,
0PL80-E-00002-20211213220022,null,SHB6344M,PL80,C,SHORT TERM,LPRS,13/12/2021 22:00:22,13/12/2021 22:03:00,0,3,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213193449,null,SKP9519Y,PL80,C,SHORT TERM,LPRS,13/12/2021 19:34:49,13/12/2021 21:57:53,2.85999999999999988,143,2021-12-13,"",PAID,null,"",ENDED,,0,2.85999999999999988,
0PL80-L-00140-20211213173717,0PL80-E-00004-20211213154424,GBG7042Y,PL80,C,SHORT TERM,PHDB,13/12/2021 17:37:17,13/12/2021 18:06:38,0.57999999999999996,29,2021-12-13,"",UNPAID_M,"","",EXITED,,0,0.57999999999999996,
0PL80-E-00003-20211213214046,null,SMR408J,PL80,C,SHORT TERM,LPRS,13/12/2021 21:40:46,13/12/2021 22:09:24,0.57999999999999996,29,"","",PAID,"","",ENDED,,0,0.57999999999999996,
0PL80-E-00002-20211213220727,null,SGW4891P,PL80,C,SHORT TERM,LPRS,13/12/2021 22:07:27,13/12/2021 22:13:08,0,6,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213213438,null,GBH4822C,PL80,C,SHORT TERM,LPRS,13/12/2021 21:34:38,13/12/2021 22:27:45,1.06000000000000005,53,"","",PAID,"","",ENDED,,0,1.06000000000000005,
0PL80-E-00002-20211213222731,null,SME9057Y,PL80,C,SHORT TERM,LPRS,13/12/2021 22:27:31,13/12/2021 22:29:08,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213233436,null,SHA8960B,PL80,C,SHORT TERM,LPRS,13/12/2021 23:34:36,13/12/2021 23:35:53,0,1,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213223139,null,SLD1263M,PL80,C,season_W,PHDB,13/12/2021 22:31:39,13/12/2021 22:32:49,0,1,"","",,"","",EXITED,,0,0,
0PL80-E-00004-20211213220312,null,SLQ6931S,PL80,C,SHORT TERM,LPRS,13/12/2021 22:03:12,13/12/2021 22:46:39,0.859999999999999987,43,"","",PAID,"","",ENDED,,0,0.859999999999999987,
0PL81-E-00001-20211213190513,null,JQM6810,PL81,C,SHORT TERM,LPRS,13/12/2021 19:05:13,13/12/2021 22:52:02,4.54000000000000004,227,2021-12-13,"",UNPAID_M,"","",ENDED,,0,4.54000000000000004,
0PL81-E-00001-20211213225351,null,SMX5158R,PL81,C,SHORT TERM,LPRS,13/12/2021 22:53:51,13/12/2021 22:54:37,0,1,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213225932,null,SMY4905C,PL81,C,SHORT TERM,LPRS,13/12/2021 22:59:32,13/12/2021 23:02:39,0,3,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213234820,null,SLJ3123P,PL81,C,SHORT TERM,LPRS,13/12/2021 23:48:20,"",0,"","","",,"","",STARTED,,0,0,
0PL80-E-00002-20211213223250,null,SLE9301D,PL80,C,SHORT TERM,LPRS,13/12/2021 22:32:50,13/12/2021 23:10:55,0.760000000000000009,38,2021-12-13,"",UNPAID_M,"","",ENDED,,0,0.760000000000000009,
0PL80-E-00002-20211213231338,null,SMP4555B,PL80,C,SHORT TERM,LPRS,13/12/2021 23:13:38,13/12/2021 23:14:55,0,1,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213232043,null,SLQ5353S,PL80,C,season_W,LPRS,13/12/2021 23:20:43,13/12/2021 23:28:54,0,8,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213220845,null,SLM2866U,PL80,C,SHORT TERM,LPRS,13/12/2021 22:08:45,13/12/2021 23:32:49,1.67999999999999994,84,"","",PAID,"","",ENDED,,0,1.67999999999999994,
0PL80-E-00001-20211214013253,null,SHC2281G,PL80,C,SHORT TERM,LPRS,14/12/2021 01:32:53,14/12/2021 01:34:58,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213221541,null,SKV3713K,PL80,C,SHORT TERM,LPRS,13/12/2021 22:15:41,14/12/2021 00:03:42,2.16000000000000014,108,"","",PAID,"","",ENDED,,0,2.16000000000000014,
0PL80-E-00001-20211213235730,null,SJN7014Y,PL80,C,SHORT TERM,LPRS,13/12/2021 23:57:30,14/12/2021 00:10:47,0,13,"","",,"","",ENDED,,0,0,
0PL81-L-00030-20211214023903,null,SLR8078L,PL81,C,season_W,LPRS,14/12/2021 02:39:03,14/12/2021 02:57:07,0,18,"","",,"","",ENDED,,0,0,
0PL81-L-00154-20211214000813,0PL81-L-00154-20211214000634,SLT2617K,PL81,C,season_W,PHDB,14/12/2021 00:08:13,14/12/2021 00:14:42,0,6,"","",,"","",FC EXITED,,0,0,
0PL80-E-00002-20211213230442,null,SLC244E,PL80,C,SHORT TERM,LPRS,13/12/2021 23:04:42,14/12/2021 01:20:42,2.7200000000000002,136,"","",PAID,"","",ENDED,,0,2.7200000000000002,
0PL80-E-00001-20211214012740,null,SLZ2065X,PL80,C,SHORT TERM,LPRS,14/12/2021 01:27:40,14/12/2021 01:29:12,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211214023108,null,SLW2195U,PL80,C,SHORT TERM,LPRS,14/12/2021 02:31:08,14/12/2021 02:32:37,0,1,"","",,"","",ENDED,,0,0,
0PL80-E-00003-20211214005104,null,SLC3082K,PL80,C,SHORT TERM,LPRS,14/12/2021 00:51:04,14/12/2021 02:18:23,1.73999999999999999,87,"","",PAID,"","",ENDED,,0,1.73999999999999999,
0PL80-L-00258-20211213225142,0PL80-L-00258-20211213224806,SMG3344Y,PL80,C,season_W,LPRS,13/12/2021 22:51:42,14/12/2021 04:00:20,0,309,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213231945,null,GBJ4344E,PL80,C,season_W,LPRS,13/12/2021 23:19:45,14/12/2021 07:27:02,0,488,"","",,"","",ENDED,,0,0,
0PL81-L-00020-20211213220743,0PL81-L-00020-20211213135530,SLG2089C,PL81,C,season_W,LPRS,13/12/2021 22:07:43,14/12/2021 07:28:03,0,561,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211214010716,null,SJQ7539J,PL80,C,season_W,LPRS,14/12/2021 01:07:16,14/12/2021 08:02:20,0,415,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211214003250,null,GBG6295R,PL81,C,season_W,LPRS,14/12/2021 00:32:50,14/12/2021 08:20:11,0,468,"","",,"","",ENDED,,0,0,
0PL80-E-00003-20211214000113,null,SKX6399D,PL80,C,season_W,PHDB,14/12/2021 00:01:13,14/12/2021 08:18:42,0,497,"","",,"","",EXITED,,0,0,
0PL80-E-00002-20211214013658,null,SLP8763C,PL80,C,season_W,LPRS,14/12/2021 01:36:58,14/12/2021 11:24:41,0,588,"","",,"","",ENDED,,0,0,
0PL80-L-00182-20211214013047,0PL80-E-00004-20211214012642,SJK9278E,PL80,C,season_W,PHDB,14/12/2021 01:30:47,14/12/2021 08:25:53,0,415,"","",,"","",EXITED,,0,0,
0PL81-E-00001-20211213215535,null,SLF2120A,PL81,C,season_W,PHDB,13/12/2021 21:55:35,14/12/2021 09:33:19,0,698,"","",,"","",EXITED,,0,0,
0PL81-E-00001-20211213234306,null,SHA3819K,PL81,C,season_W,LPRS,13/12/2021 23:43:06,14/12/2021 14:37:26,0,894,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213194106,null,SMT1813E,PL80,C,SHORT TERM,PHDB,13/12/2021 19:41:06,13/12/2021 21:40:38,2.37999999999999989,119,"","",PAID,pi_3K6dl8Ep0h9td3Zk1ynqxwcx,BILLPjlcj4,EXITED,,0,2.37999999999999989,
0PL80-E-00004-20211213212953,null,SML9971X,PL80,C,SHORT TERM,PHDB,13/12/2021 21:29:53,13/12/2021 21:40:29,0,11,"","",,"","",EXITED,,0,0,
0PL81-E-00001-20211213214331,null,SHD3513B,PL81,C,SHORT TERM,LPRS,13/12/2021 21:43:31,13/12/2021 21:44:57,0,1,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213235532,null,SHC1389L,PL81,C,SHORT TERM,LPRS,13/12/2021 23:55:32,13/12/2021 23:57:19,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213214807,null,JQK1828,PL80,C,SHORT TERM,LPRS,13/12/2021 21:48:07,13/12/2021 21:48:07,0,0,"","",FC_WAIVED,"","",ENDED,,0,0,
0PL81-L-00047-20211213215217,0PL81-E-00001-20211213212258,SKG8548S,PL81,C,SHORT TERM,LPRS,13/12/2021 21:52:17,13/12/2021 21:53:40,0,1,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213215400,null,SLA4649E,PL81,C,SHORT TERM,LPRS,13/12/2021 21:54:00,13/12/2021 21:55:01,0,1,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213215343,null,SME1530A,PL81,C,season_W,LPRS,13/12/2021 21:53:43,13/12/2021 21:55:19,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213220305,null,SHA4729E,PL80,C,SHORT TERM,LPRS,13/12/2021 22:03:05,13/12/2021 22:05:01,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213221326,null,SLF8872Z,PL80,C,SHORT TERM,LPRS,13/12/2021 22:13:26,13/12/2021 22:15:20,0,2,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213221242,null,SLA207Z,PL81,C,SHORT TERM,LPRS,13/12/2021 22:12:42,13/12/2021 22:23:23,0,11,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213224213,null,SLX7653B,PL81,C,season_W,LPRS,13/12/2021 22:42:13,14/12/2021 09:39:22,0,657,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213223009,null,SLK4805T,PL80,C,SHORT TERM,LPRS,13/12/2021 22:30:09,13/12/2021 22:32:16,0,2,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213223023,null,SJY833M,PL81,C,SHORT TERM,LPRS,13/12/2021 22:30:23,13/12/2021 22:40:56,0,10,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213232051,null,GBJ3857Z,PL80,C,SHORT TERM,LPRS,13/12/2021 23:20:51,13/12/2021 23:23:29,0,3,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213232211,null,SHC1389L,PL80,C,SHORT TERM,LPRS,13/12/2021 23:22:11,13/12/2021 23:24:30,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213231740,null,QX2046C,PL80,E,SHORT TERM,LPRS,13/12/2021 23:17:40,13/12/2021 23:39:13,0,22,"","",,"","",ENDED,,0,0,
0PL81-L-00052-20211213234102,0PL81-L-00052-20211213222659,SME1977U,PL81,C,season_W,LPRS,13/12/2021 23:41:02,13/12/2021 23:42:42,0,1,"","",,"","",ENDED,,0,0,
0PL80-L-00L31-20211213233949,0PL80-E-00002-20211213233704,SMF4485Y,PL80,C,SHORT TERM,LPRS,13/12/2021 23:39:49,13/12/2021 23:43:15,0,4,"","",,"","",ENDED,,0,0,
0PL80-E-00004-20211213233441,null,SNC3688P,PL80,C,season_W,LPRS,13/12/2021 23:34:41,14/12/2021 04:00:17,0,266,"","",,"","",ENDED,,0,0,
0PL80-L-000H5-20211213232359,0PL80-E-00003-20211213231721,GBK2265H,PL80,C,SHORT TERM,LPRS,13/12/2021 23:23:59,14/12/2021 00:00:25,0.739999999999999991,37,2021-12-14,"",UNPAID_M,"","",ENDED,,0,0.739999999999999991,
0PL80-E-00001-20211214022820,null,SKZ3425X,PL80,C,SHORT TERM,LPRS,14/12/2021 02:28:20,14/12/2021 02:30:34,0,2,"","",,"","",ENDED,,0,0,
0PL80-L-00295-20211213231755,0PL80-E-00003-20211213231128,SLZ1739S,PL80,C,MULTIPLE,PHDB,13/12/2021 23:17:55,14/12/2021 00:13:19,0,56,"","",WAIVED,"","",EXITED,,0,0,
0PL80-E-00001-20211214003042,null,SGY2887E,PL80,C,SHORT TERM,LPRS,14/12/2021 00:30:42,14/12/2021 00:33:04,0,3,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211214011445,null,SHC7094Y,PL80,C,SHORT TERM,LPRS,14/12/2021 01:14:45,14/12/2021 01:17:01,0,3,"","",,"","",ENDED,,0,0,
0PL80-L-00756-20211214023711,0PL80-L-00756-20211214015104,SFX555T,PL80,C,season_W,PHDB,14/12/2021 02:37:11,14/12/2021 02:38:31,0,1,"","",,"","",FORCE EXITED,,0,0,
0PL81-L-00154-20211214003506,0PL81-L-00154-20211214002102,SLT2617K,PL81,C,season_W,PHDB,14/12/2021 00:35:06,14/12/2021 00:39:23,0,4,"","",,"","",FC EXITED,,0,0,
0PL80-E-00003-20211213225917,null,GBK9552H,PL80,C,season_W,LPRS,13/12/2021 22:59:17,14/12/2021 05:38:01,0,399,"","",,"","",ENDED,,0,0,
0PL80-L-00756-20211214030535,null,SFX555T,PL80,C,season_W,PHDB,14/12/2021 03:05:35,14/12/2021 03:06:55,0,1,"","",,"","",FORCE EXITED,,0,0,
0PL81-E-00001-20211213221751,null,GBL461R,PL81,C,SHORT TERM,LPRS,13/12/2021 22:17:51,14/12/2021 03:26:10,5.25999999999999979,309,"","",PAID,"","",ENDED,,0,5.25999999999999979,
0PL81-L-00154-20211214040028,0PL81-L-00154-20211214035856,SLT2617K,PL81,C,season_W,PHDB,14/12/2021 04:00:28,14/12/2021 04:00:40,0,0,"","",,"","",FC EXITED,,0,0,
0PL81-L-00030-20211214031457,0PL81-L-00030-20211214031128,SLR8078L,PL81,C,season_W,LPRS,14/12/2021 03:14:57,14/12/2021 05:48:38,0,154,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213214740,null,SLP2696C,PL81,C,season_W,PHDB,13/12/2021 21:47:40,14/12/2021 08:33:35,0,646,"","",,"","",EXITED,,0,0,
0PL80-E-00004-20211213225053,null,SML1467M,PL80,C,season_W,LPRS,13/12/2021 22:50:53,14/12/2021 06:27:40,0,457,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213222325,null,SGE3933D,PL81,C,season_W,PHDB,13/12/2021 22:23:25,13/12/2021 22:25:49,0,2,"","",,"","",EXITED,,0,0,
0PL80-L-00660-20211213221145,null,SJT1033A,PL80,C,season_W,PHDB,13/12/2021 22:11:45,14/12/2021 06:03:14,0,472,"","",,"","",FORCE EXITED,,0,0,
0PL80-E-00001-20211213225014,null,SJL4652K,PL80,C,season_W,PHDB,13/12/2021 22:50:14,14/12/2021 09:25:16,0,635,"","",,"","",EXITED,,0,0,
0PL81-E-00001-20211213224910,null,SLV1812J,PL81,C,season_W,LPRS,13/12/2021 22:49:10,14/12/2021 10:30:52,0,701,"","",,"","",ENDED,,0,0,
0PL80-E-00003-20211213232052,null,EM7889D,PL80,C,season_W,PHDB,13/12/2021 23:20:52,14/12/2021 10:48:53,0,688,"","",,"","",EXITED,,0,0,
0PL80-E-00002-20211213211910,null,SLK2708D,PL80,C,SHORT TERM,LPRS,13/12/2021 21:19:10,13/12/2021 21:43:33,0.479999999999999982,24,"","",PAID,"","",ENDED,,0,0.479999999999999982,
0PL81-E-00001-20211213194049,null,SGE3933D,PL81,C,season_W,PHDB,13/12/2021 19:40:49,13/12/2021 21:46:37,0,126,"","",,"","",EXITED,,0,0,
0PL80-E-00003-20211213221442,null,SLW6929T,PL80,C,SHORT TERM,LPRS,13/12/2021 22:14:42,13/12/2021 22:16:09,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213221810,null,SMW5646D,PL80,C,SHORT TERM,LPRS,13/12/2021 22:18:10,13/12/2021 22:19:40,0,1,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213233845,null,YP2990Z,PL80,C,SHORT TERM,LPRS,13/12/2021 23:38:45,14/12/2021 00:13:59,0.699999999999999956,35,"","",UNPAID,"","",ENDED,,0,0.699999999999999956,
0PL80-E-00003-20211213214935,null,SGE3933D,PL80,C,SHORT TERM,PHDB,13/12/2021 21:49:35,13/12/2021 22:20:48,0.619999999999999996,31,2021-12-15,"",UNPAID,"","",EXITED,,0,0.619999999999999996,
0PL81-E-00001-20211213224343,null,SDD8328J,PL81,C,SHORT TERM,LPRS,13/12/2021 22:43:43,13/12/2021 22:47:47,0,4,"","",,"","",ENDED,,0,0,
0PL80-E-00005-20211213224732,null,SLJ3915X,PL80,C,SHORT TERM,LPRS,13/12/2021 22:47:32,13/12/2021 22:48:59,0,1,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213224833,null,SMV6238Y,PL80,C,SHORT TERM,LPRS,13/12/2021 22:48:33,13/12/2021 22:49:40,0,1,"","",,"","",ENDED,,0,0,
0PL80-L-00258-20211213224806,null,SMG3344Y,PL80,C,season_W,LPRS,13/12/2021 22:48:06,13/12/2021 22:51:38,0,3,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213225921,null,SMU7491E,PL81,C,SHORT TERM,LPRS,13/12/2021 22:59:21,13/12/2021 23:00:35,0,1,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213230356,null,SKU5061A,PL81,C,SHORT TERM,LPRS,13/12/2021 23:03:56,13/12/2021 23:07:03,0,4,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213223702,null,SKL342U,PL81,C,SHORT TERM,LPRS,13/12/2021 22:37:02,13/12/2021 23:06:48,0.57999999999999996,29,"","",PAID,"","",ENDED,,0,0.57999999999999996,
0PL81-E-00001-20211213230322,null,GBH7313K,PL81,C,SHORT TERM,LPRS,13/12/2021 23:03:22,13/12/2021 23:10:01,0,7,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213233412,null,SLL2585K,PL80,C,SHORT TERM,LPRS,13/12/2021 23:34:12,13/12/2021 23:36:52,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213234426,null,SHD3565B,PL80,C,SHORT TERM,LPRS,13/12/2021 23:44:26,13/12/2021 23:46:19,0,2,"","",,"","",ENDED,,0,0,
0PL80-L-00822-20211214031159,0PL80-L-00822-20211214031107,SMV4414T,PL80,C,season_W,LPRS,14/12/2021 03:11:59,14/12/2021 03:13:19,0,2,"","",,"","",ENDED,,0,0,
0PL80-L-00578-20211214001930,0PL80-L-00578-20211213210900,SLD381L,PL80,C,SHORT TERM,LPRS,14/12/2021 00:19:30,14/12/2021 00:20:01,0,1,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211214011224,null,SLK5913H,PL81,C,SHORT TERM,LPRS,14/12/2021 01:12:24,14/12/2021 01:15:21,0,3,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211214011950,null,SLF7531P,PL81,C,SHORT TERM,LPRS,14/12/2021 01:19:50,14/12/2021 01:20:57,0,1,"","",,"","",ENDED,,0,0,
0PL80-L-0767C-20211213224918,0PL80-E-00002-20211213175029,SNB3155R,PL80,C,season_W,LPRS,13/12/2021 22:49:18,14/12/2021 09:15:45,0,626,"","",,"","",ENDED,,0,0,
0PL80-E-00003-20211214022727,null,SMK3251K,PL80,C,SHORT TERM,LPRS,14/12/2021 02:27:27,14/12/2021 02:29:59,0,2,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211214015511,null,SJQ7800D,PL81,C,season_W,LPRS,14/12/2021 01:55:11,14/12/2021 02:37:26,0,42,"","",,"","",ENDED,,0,0,
0PL80-L-00756-20211214013733,null,SFX555T,PL80,C,season_W,PHDB,14/12/2021 01:37:33,14/12/2021 01:39:35,0,2,"","",,"","",FORCE EXITED,,0,0,
0PL81-E-00001-20211214000055,null,SMR6999E,PL81,C,season_W,LPRS,14/12/2021 00:00:55,14/12/2021 04:02:15,0,242,"","",,"","",ENDED,,0,0,
0PL80-E-00004-20211214025709,null,SLL8474H,PL80,C,season_W,PHDB,14/12/2021 02:57:09,14/12/2021 03:29:33,0,32,"","",,"","",EXITED,,0,0,
0PL81-E-00001-20211214040147,null,SHD4277B,PL81,C,SHORT TERM,LPRS,14/12/2021 04:01:47,14/12/2021 04:02:31,0,1,"","",,"","",ENDED,,0,0,
0PL81-L-00394-20211214043941,null,SMV93L,PL81,C,season_W,LPRS,14/12/2021 04:39:41,14/12/2021 04:46:41,0,7,"","",,"","",ENDED,,0,0,
0PL81-L-00323-20211214040403,null,SLG7022L,PL81,C,season_W,PHDB,14/12/2021 04:04:03,14/12/2021 04:04:44,0,0,"","",,"","",FORCE EXITED,,0,0,
0PL80-L-00658-20211214040037,null,SJU276S,PL80,C,season_W,PHDB,14/12/2021 04:00:37,14/12/2021 04:07:58,0,7,"","",,"","",FORCE EXITED,,0,0,
0PL81-E-00001-20211213235100,null,SMQ8078E,PL81,C,season_W,LPRS,13/12/2021 23:51:00,14/12/2021 07:12:37,0,441,"","",,"","",ENDED,,0,0,
0PL80-E-00003-20211213233034,null,SGK5613H,PL80,C,season_W,LPRS,13/12/2021 23:30:34,14/12/2021 08:12:02,0,522,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213214337,null,SMA9441S,PL81,C,season_W,PHDB,13/12/2021 21:43:37,14/12/2021 07:56:58,0,613,"","",,"","",EXITED,,0,0,
0PL80-E-00004-20211214012642,null,SJK9278E,PL80,C,season_W,PHDB,14/12/2021 01:26:42,14/12/2021 01:29:52,0,3,"","",,"","",EXITED,,0,0,
0PL81-E-00001-20211213231338,null,SJL4437R,PL81,C,season_W,PHDB,13/12/2021 23:13:38,14/12/2021 08:56:38,0,583,"","",,"","",EXITED,,0,0,
0PL80-E-00004-20211213223453,null,SMD5577U,PL80,C,season_W,LPRS,13/12/2021 22:34:53,14/12/2021 09:43:24,0,669,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213234215,null,SHD2627M,PL81,C,season_W,PHDB,13/12/2021 23:42:15,14/12/2021 09:22:15,0,580,"","",,"","",EXITED,,0,0,
0PL81-E-00001-20211214001743,null,SKH531L,PL81,C,season_W,LPRS,14/12/2021 00:17:43,14/12/2021 15:31:02,0,914,"","",,"","",ENDED,,0,0,
0PL80-E-00004-20211214004847,null,SLU9083Z,PL80,C,season_W,PHDB,14/12/2021 00:48:47,14/12/2021 15:15:39,0,867,"","",,"","",EXITED,,0,0,
0PL81-L-00272-20211214040740,0PL81-L-00272-20211214040501,SGQ8783Z,PL81,C,season_W,PHDB,14/12/2021 04:07:40,14/12/2021 16:24:15,0,737,"","",,"","",EXITED,,0,0,
0PL80-E-00004-20211213214805,null,SDD2928S,PL80,C,SHORT TERM,LPRS,13/12/2021 21:48:05,13/12/2021 22:11:11,0.46000000000000002,23,"","",PAID,"","",ENDED,,0,0.46000000000000002,
0PL81-E-00001-20211213221231,null,SLQ7378H,PL81,C,SHORT TERM,LPRS,13/12/2021 22:12:31,13/12/2021 22:14:03,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213221427,null,SML6530E,PL80,C,SHORT TERM,LPRS,13/12/2021 22:14:27,13/12/2021 22:15:25,0,1,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213161956,null,SNB5653G,PL80,C,SHORT TERM,LPRS,13/12/2021 16:19:56,13/12/2021 22:14:12,7.09999999999999964,355,2021-12-13,"",UNPAID_M,"","",ENDED,,0,7.09999999999999964,
0PL80-E-00004-20211213221702,null,SLN1214C,PL80,C,season_W,LPRS,13/12/2021 22:17:02,13/12/2021 22:17:02,0,0,"","",FC_WAIVED,"","",ENDED,,0,0,
0PL80-E-00002-20211213223106,null,SHA8371B,PL80,C,SHORT TERM,LPRS,13/12/2021 22:31:06,13/12/2021 22:33:23,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213225210,null,SKR1880U,PL80,C,SHORT TERM,LPRS,13/12/2021 22:52:10,13/12/2021 22:54:09,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00003-20211213222149,null,SLS5234S,PL80,C,season_W,LPRS,13/12/2021 22:21:49,14/12/2021 00:34:06,0,133,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213220838,null,SLV4846S,PL80,C,SHORT TERM,LPRS,13/12/2021 22:08:38,13/12/2021 22:57:50,0.979999999999999982,49,"","",PAID,"","",ENDED,,0,0.979999999999999982,
0PL80-E-00004-20211213225744,null,SMX2171X,PL80,C,SHORT TERM,LPRS,13/12/2021 22:57:44,13/12/2021 23:03:03,0,6,"","",,"","",ENDED,,0,0,
